AY206389,30026426,C
AY206392,30026448,C
AY206393,30026455,C
AY269064,30525234,C
AY269065,30525236,C
AY269066,30525238,C
AY269067,30525240,C
AY269068,30525242,C
AY269069,30525244,C
AY269070,30525246,C
AY269071,30525248,C
AY269072,30525250,C
AY269073,30525252,C
AY269074,30525254,C
AY269075,30525256,D
AY220697,30983604,B
AY220698,30983610,B
AY220703,30983647,B
AY220704,30983655,B
AY373428,34761124,A
AY373429,34761129,A
AY373430,34761134,D
AY155377,37195620,D
AY155378,37195622,D
AY155379,37195624,D
AY155382,37195630,D
AY155383,37195632,D
AY155384,37195634,D
AY155385,37195636,D
AY155388,37195642,D
AY155389,37195644,D
AY155396,37195658,D
AY155403,37195672,D
AY155417,37195700,D
AY155421,37195708,D
AY155423,37195712,D
AY155424,37195714,D
AY155425,37195716,D
AY155426,37195718,D
AY155427,37195720,D
AY155428,37195722,D
AY155429,37195724,D
AY155430,37195726,D
AY155431,37195728,D
AY293309,38147024,B
AY509974,40846455,AD
AY490265,44993530,C
AY490267,44993720,C
AY490268,44993810,C
AY490270,44993998,BC
AY490271,44994092,B
AY490272,44994179,B
AY490273,44994282,B
AY490274,44994365,C
AY490275,44994466,C
AY490276,44994557,B
AY490277,44994628,B
AY603447,47499879,A
AY603448,47499883,A
AY603449,47499887,A
AY603450,47499891,D
AY603451,47499895,D
AY603452,47499899,A
AY603454,47499907,D
AY603455,47499911,A
AY603456,47499915,D
AY603457,47499919,D
AY603458,47499923,A
AY603459,47499927,D
AY603460,47499931,D
AY603461,47499935,D
AY603462,47499939,D
AY603463,47499943,A
AY603464,47499947,D
AY603465,47499951,D
AY603466,47499955,A
AB110423,47550494,AH
AB110424,47550496,AH
AB110425,47550498,AH
AB110426,47550500,AH
AB110427,47550502,AH
AB110428,47550504,AH
AB110429,47550506,AH
AB110430,47550508,AH
AB110432,47550512,AH
AB110433,47550514,AH
AB110435,47550518,AH
AB110436,47550520,AH
AB110437,47550522,AH
AB110438,47550524,AH
AY603427,48476455,D
AY603428,48476457,D
AY603429,48476459,A
AY603430,48476461,A
AY603431,48476463,A
AY603432,48476465,A
AY603433,48476467,D
AY603434,48476469,D
AY603437,48476475,D
AY603438,48476477,A
AY603439,48476479,D
AY603440,48476481,D
AY603441,48476483,A
AY603442,48476485,D
AY603443,48476487,D
AY603444,48476489,D
AY603445,48476491,D
AY603446,48476493,A
AY696196,51538016,F
AY696201,51538026,F
AY696238,51538100,F
AB167547,53147687,AD
AB167548,53147697,AD
AB167567,53147850,AD
AB167575,53147917,AD
AB167576,53147926,AD
AB167578,53147944,AD
AB167579,53147953,AD
AB167582,53147980,AD
AB167583,53147990,AD
AB167584,53148000,AD
AB167585,53148009,AD
AB167586,53148018,AD
AB167588,53148036,AD
AB167590,53148055,AD
AB167595,53148092,AD
AB167596,53148102,AD
AB167606,53148192,AD
AB167607,53148201,AD
AB167609,53148219,AD
AB167611,53148237,AD
AB167614,53148264,AD
AB167615,53148273,AD
AB167616,53148282,AD
AY641558,55420271,C
AY641559,55420276,C
AY641560,55420280,C
AY641561,55420285,C
AY641562,55420290,C
AY641563,55420294,C
AY653812,56417994,D
AY839630,56609443,C
AY856609,57545375,E
AY856613,57545383,E
AY856615,57545387,E
AY856617,57545391,A
AY856618,57545393,E
AY856620,57545397,E
AY856621,57545399,E
AY856622,57545401,A
AY856624,57545405,A
AY856627,57545411,E
AY856630,57545417,E
AY856640,57545437,E
AY856645,57545447,E
AY856648,57545453,E
AY856649,57545455,E
AY856650,57545457,A
AY856662,57545481,E
AY856672,57545501,A
AY856673,57545503,E
AY856677,57545511,A
AY856682,57545521,D
AY856684,57545525,A
AY856693,57545543,D
AY856699,57545555,D
AY856517,57904292,E
AY856518,57904294,E
AY856519,57904297,E
AY856520,57904299,E
AY856521,57904301,E
AY856522,57904304,E
AY856523,57904307,E
AY856524,57904310,E
AY856526,57904315,E
AY856528,57904319,E
AY856529,57904322,E
AY856530,57904324,E
AY856532,57904328,E
AY856533,57904331,E
AY856534,57904333,E
AY856535,57904336,E
AY856536,57904339,E
AY856538,57904344,E
AY856539,57904346,E
AY856540,57904348,E
AY856542,57904352,E
AY856543,57904355,E
AY856544,57904358,E
AY856545,57904361,E
AY856546,57904364,E
AY856547,57904367,E
AY856548,57904369,E
AY856549,57904371,E
AY856550,57904373,E
AY856551,57904375,E
AY856552,57904378,E
AY856555,57904386,E
AY856556,57904389,E
AY856557,57904392,E
AY856558,57904394,E
AY856559,57904396,A
AY856560,57904399,E
AY856563,57904407,E
AY856564,57904409,E
AY856566,57904413,E
AY856568,57904418,E
AY856571,57904425,A
AY856572,57904428,E
AY856573,57904430,E
AY856575,57904434,E
AY856582,57904451,A
AY856584,57904457,A
AY856585,57904460,E
AY856588,57904468,A
AY856591,57904476,E
AY856593,57904481,E
AY856594,57904484,A
AY856596,57904490,E
AY856600,57904501,E
AY856601,57904504,E
AY856602,57904507,D
AY856603,57904510,E
AY856606,57904517,E
AY739674,58047468,E
AY739675,58047473,E
AY738804,58189923,A
AY738805,58189925,A
AY738806,58189927,A
AY738807,58189929,A
AY738808,58189931,A
AY738809,58189933,A
AY738810,58189935,A
AY738811,58189937,A
